frame,time_sec,track_id,class_name,confidence,displacement_px,consecutive_stand_sec,is_jam_contributor
2,0.08,5,bus,0.8952904343605042,0.4399999976158142,0.08,False
2,0.08,6,bus,0.7836490869522095,1.899999976158142,0.04,False
2,0.08,7,car,0.889144778251648,1.090000033378601,0.08,False
2,0.08,8,car,0.7639272809028625,0.47999998927116394,0.08,False
2,0.08,9,car,0.8223536014556885,0.20000000298023224,0.08,False
2,0.08,10,car,0.7905559539794922,0.949999988079071,0.08,False
2,0.08,11,truck,0.7938877940177917,1.6299999952316284,0.08,False
2,0.08,12,car,0.8743270039558411,3.7100000381469727,0.0,False
2,0.08,13,car,0.6506471633911133,1.0800000429153442,0.08,False
2,0.08,14,car,0.716930627822876,0.9399999976158142,0.08,False
2,0.08,15,motorcycle,0.7331909537315369,0.20999999344348907,0.08,False
2,0.08,16,bus,0.737022876739502,4.360000133514404,0.0,False
3,0.13,1,bus,0.96810382604599,0.3499999940395355,0.13,False
3,0.13,2,bus,0.9499855637550354,1.3700000047683716,0.08,False
3,0.13,3,car,0.9526664018630981,9.760000228881836,0.0,False
3,0.13,4,car,0.8903454542160034,2.4800000190734863,0.13,False
3,0.13,5,bus,0.8929529190063477,0.38999998569488525,0.13,False
3,0.13,6,bus,0.8428913950920105,1.7400000095367432,0.08,False
3,0.13,7,car,0.886344313621521,0.7699999809265137,0.13,False
3,0.13,8,car,0.7672914862632751,0.9800000190734863,0.13,False
3,0.13,9,car,0.8166548013687134,2.4700000286102295,0.13,False
3,0.13,10,car,0.8006975054740906,0.07999999821186066,0.13,False
3,0.13,11,truck,0.7677122950553894,1.0700000524520874,0.13,False
3,0.13,12,car,0.8752727508544922,4.340000152587891,0.0,False
3,0.13,13,car,0.6497173309326172,0.6600000262260437,0.13,False
3,0.13,14,car,0.702829122543335,0.7200000286102295,0.13,False
3,0.13,15,motorcycle,0.7355961799621582,0.49000000953674316,0.13,False
3,0.13,16,bus,0.7729155421257019,1.600000023841858,0.04,False
4,0.17,1,bus,0.9654314517974854,0.6299999952316284,0.17,False
4,0.17,2,bus,0.9530361294746399,3.4000000953674316,0.0,False
4,0.17,3,car,0.9507279396057129,7.960000038146973,0.0,False
4,0.17,4,car,0.8822053074836731,2.190000057220459,0.17,False
4,0.17,5,bus,0.8896833658218384,0.12999999523162842,0.17,False
4,0.17,6,bus,0.8262882232666016,3.2300000190734863,0.0,False
4,0.17,7,car,0.8884819149971008,0.4699999988079071,0.17,False
4,0.17,8,car,0.7650646567344666,0.23000000417232513,0.17,False
4,0.17,9,car,0.8050100207328796,1.190000057220459,0.17,False
4,0.17,10,car,0.792823314666748,0.019999999552965164,0.17,False
4,0.17,11,truck,0.7866410613059998,1.7599999904632568,0.17,False
4,0.17,12,car,0.8650506138801575,3.4200000762939453,0.0,False
4,0.17,13,car,0.6283788681030273,0.4000000059604645,0.17,False
4,0.17,14,car,0.7019696831703186,0.05000000074505806,0.17,False
4,0.17,15,motorcycle,0.739830493927002,0.1899999976158142,0.17,False
4,0.17,16,bus,0.8174139857292175,1.5800000429153442,0.08,False
5,0.21,1,bus,0.9666758179664612,0.23999999463558197,0.21,False
5,0.21,2,bus,0.9506123065948486,2.3499999046325684,0.04,False
5,0.21,3,car,0.9499697089195251,8.829999923706055,0.0,False
5,0.21,4,car,0.8883432745933533,2.25,0.21,False
5,0.21,5,bus,0.8958752751350403,1.0499999523162842,0.21,False
5,0.21,6,bus,0.8882367014884949,3.3299999237060547,0.0,False
5,0.21,7,car,0.8884209990501404,0.6600000262260437,0.21,False
5,0.21,8,car,0.7835289239883423,1.159999966621399,0.21,False
5,0.21,9,car,0.8459832072257996,1.4700000286102295,0.21,False
5,0.21,10,car,0.7981175184249878,1.1699999570846558,0.21,False
5,0.21,11,truck,0.7123687863349915,3.9200000762939453,0.0,False
5,0.21,12,car,0.8590792417526245,6.690000057220459,0.0,False
5,0.21,13,car,0.627069354057312,0.5699999928474426,0.21,False
5,0.21,14,car,0.7166430354118347,0.8299999833106995,0.21,False
